sourceid,ID,RAdeg,DEdeg,g_mean,g_wmean,g_MAD,g_IQR,g_f60,g_f70,g_f80,g_f90,g_skew,g_kurtosis,g_welsh_J,g_welsh_K,r_mean,r_wmean,r_MAD,r_IQR,r_f60,r_f70,r_f80,r_f90,r_skew,r_kurtosis,r_welsh_J,r_welsh_K,label
766726,ZTFJ232339.04+492233.9,350.91269,49.3761,18.29993231403509,18.34232729156605,0.15664669999999958,0.3122538999999982,0.34461439999999754,0.3961135800000015,0.48032149999999874,0.5924770200000005,0.44697736934019905,-0.8322787447989226,0.03164411569609577,4.061542296708138,17.743470839682537,17.785015665129393,0.09883119999999934,0.24611660000000057,0.34916877999999585,0.40036295999999894,0.5088614800000002,0.5848574699999993,0.9139815481924154,-0.2933048736356936,0.03311720793023268,5.602374009178218,EW
618101,ZTFJ203131.88+064632.3,307.88285,6.77564,12.492567061363637,12.491073225709147,0.035752749999999445,0.0894913749999997,0.18293418000000017,0.5117887749999994,0.6029164900000001,0.6271735150000008,1.560673737261348,0.812235729117639,0.03860070191834217,-0.9493774897473032,,,,,,,,,,,,,EA
498205,ZTFJ194251.25+230312.7,295.71357,23.05354,21.20105637659574,21.261581876182934,0.12196550000000173,0.24346924999999686,0.37591398,0.6275654000000017,0.7303554800000001,0.9836193099999981,-0.11556177390773598,0.8231886648802016,0.07206209381533808,4.127571481511666,19.152285091326533,19.307083632799504,0.16612250000000195,0.3757324250000025,0.49636839999999793,0.6469016249999981,0.7921352500000012,0.9415411500000026,0.9764259479496049,0.5958557386203753,0.10236376067270592,46.51068574359606,SR
335467,ZTFJ185759.32+110031.0,284.49719,11.00863,17.98200030394737,17.9837208113544,0.03018569999999876,0.059176000000000784,0.08019563999999946,0.1010461350000007,0.11765477999999874,0.16296042999999827,-0.03868054451015119,0.9888019436925415,0.0019766946686864454,-0.009396548746454209,16.90473496014493,16.90536488122299,0.030637749999998576,0.06036424999999568,0.0774265000000014,0.08727138499999754,0.1039525800000014,0.12666413999999904,0.5061949473096069,0.30115049161712015,0.001408965565577044,1.2241875466871017,EW
293594,ZTFJ184102.29+190830.7,280.25955,19.14188,20.340333668,20.383238553063755,0.1459388500000003,0.2902454999999975,0.33040696000000125,0.4482055249999988,0.5316255599999984,0.6280458700000011,-0.46133375721479575,-0.5087084613660076,0.03432486538498756,0.11979807481938096,19.30474078051948,19.337432478743914,0.10027890000000284,0.20145040000000236,0.2456093000000017,0.2895946400000007,0.38662761999999873,0.453321540000001,0.341442079688381,-0.43155998618408287,0.01769009088914373,3.5995200555766793,BYDra
12901,ZTFJ003333.99+080908.0,8.39163,8.15223,15.590423886597941,15.589847677012779,0.042656000000000915,0.0857878000000003,0.09492479999999937,0.10664200000000079,0.1305654399999998,0.15019133999999923,0.01796253848769455,-0.8630357590770981,0.002182082931617071,-0.09087668729231313,14.757154018,14.757377713020817,0.03133340000000029,0.0654363250000003,0.08029685999999892,0.09221435999999983,0.10417005000000046,0.12106539000000005,0.009160595106210792,-0.9006200988586652,0.0014255752782892977,0.051272576824466086,RSCVN
22123,ZTFJ010130.17+723228.8,15.37571,72.54135,18.381286827179487,18.40760142582945,0.11907009999999829,0.2553319500000022,0.305235660000001,0.35201722000000046,0.41419983999999843,0.4760007600000016,0.40186873618458013,-0.8074946650840436,0.02099842479790029,-4.6635528232738075,17.655228105714286,17.67452576206192,0.10642054999999928,0.2554931499999995,0.28918151999999964,0.3258781599999985,0.3541826499999985,0.39261794000000094,0.41468846307319474,-1.1111116154165894,0.017522122091120133,-4.297363218816853,EW
114045,ZTFJ051544.30+203745.8,78.93459,20.62941,16.480963780769233,16.481897517921137,0.04154205000000033,0.08290195000000011,0.09871826000000183,0.11300579999999982,0.12748848000000024,0.1635717050000025,0.09573126954251769,-0.7998984790400279,0.002430934046679021,0.004681723570963803,15.413967959322035,15.414218071372638,0.03159050000000008,0.06714674999999914,0.0712484600000014,0.08036012999999897,0.09201960000000042,0.10116875000000114,-0.006521849108134149,-1.2462203716031224,0.0011202532724859592,0.10480985664658353,EW
629308,ZTFJ204019.41-060939.5,310.0809,-6.16098,16.765277035064933,16.85795111115203,0.28567310000000035,0.8218059999999987,0.9066825999999999,1.0040030800000004,1.0725402799999983,1.1687232399999985,-0.5513688441061665,-1.115148442494149,0.16639250702471145,7.870855715840013,16.579179491666668,16.635753731074033,0.2527637500000015,0.5410118249999982,0.6405532599999972,0.7115952249999999,0.8234718399999963,0.8780503250000002,-0.33821815689778895,-1.2256397258321847,0.0833007009253342,7.665554337074874,RR
484934,ZTFJ193933.42+123448.8,294.88925,12.58023,16.77378205217391,16.780988347461214,0.09600735000000071,0.20134734999999893,0.22650764000000123,0.25612182499999747,0.31339189999999917,0.3911159150000003,0.18605477397828946,-0.7463517617534281,0.013286353310622586,12.97224710306766,14.850082782236843,14.851082912038754,0.11042784999999977,0.2225172999999998,0.2698920999999981,0.32552188000000015,0.3655430200000005,0.44961673000000246,0.09560764631375825,-0.9736200677373468,0.017493819363830033,17.35777031078576,SR
262713,ZTFJ182107.33-020916.2,275.28057,-2.15451,20.070835221739134,20.128336213113244,0.1917971999999999,0.36945150000000027,0.4298530199999995,0.4607482800000007,0.5482982800000009,0.7008838599999976,0.011786484161978665,-0.8605375360853431,0.04805472400400029,9.501588195381169,16.720444640217394,16.732081810488317,0.13999649999999875,0.3149753000000004,0.34360922000000116,0.3688107549999984,0.4042711799999985,0.4782057299999991,-0.43754330245248413,-0.8219953407288987,0.02574426454561962,12.485380953992522,SR
375253,ZTFJ190931.31+522216.7,287.3805,52.37133,18.6149548631068,18.62256619615815,0.05825420000000037,0.11744025000000136,0.14240039999999965,0.16749442999999786,0.20965384000000142,0.24341884000000036,0.4756288252229927,-0.3618346773122303,0.005278385493716658,1.6288725011747585,17.29752027008547,17.30052505142921,0.04942890000000233,0.09777070000000165,0.123007580000003,0.13877943999999687,0.15616035999999767,0.18215526000000182,0.1627571829234547,-1.1095471213214467,0.0031852803445781533,0.9815348747377669,BYDra
